ID,Prediction
1,0.760188
2,0.600261
3,0.928457
4,0.369112
5,0.619228
6,0.631454
7,0.714949
8,0.990000
9,0.828947
10,0.768504
11,0.990000
12,0.869784
13,0.593694
14,0.930327
15,0.990000
16,0.717310
17,0.990000
18,0.537669
19,0.373606
20,0.200794
21,0.553257
22,0.973500
23,0.777133
24,0.513234
25,0.654708
26,0.791439
27,0.553689
28,0.990000
29,0.979367
30,0.990000
31,0.536549
32,0.905725
33,0.990000
34,0.990000
35,0.990000
36,0.862492
37,0.363180
38,0.318152
39,0.738848
40,0.490727
41,0.850576
42,0.484238
43,0.114013
44,0.904587
45,0.649572
46,0.767925
47,0.879904
48,0.990000
49,0.990000
50,0.819391
51,0.990000
52,0.391226
53,0.990000
54,0.873389
55,0.990000
56,0.285866
57,0.704051
58,0.581975
59,0.990000
60,0.889338
61,0.754134
62,0.449328
63,0.903398
64,0.764054
65,0.990000
66,0.990000
67,0.943308
68,0.990000
69,0.596018
70,0.360977
71,0.265599
72,0.527316
73,0.990000
74,0.954142
75,0.511031
76,0.608137
77,0.990000
78,0.816086
79,0.715201
80,0.910162
81,0.607449
82,0.425646
83,0.275953
84,0.951651
85,0.976158
86,0.189286
87,0.990000
88,0.898547
89,0.990000
90,0.506574
91,0.990000
92,0.747966
93,0.790943
94,0.990000
95,0.683168
96,0.184780
97,0.726472
98,0.386390
99,0.868134
100,0.785295
101,0.856929
102,0.849968
103,0.990000
104,0.159534
105,0.990000
106,0.990000
107,0.404627
108,0.990000
109,0.990000
110,0.802802
111,0.990000
112,0.938469
113,0.990000
114,0.666123
115,0.498453
116,0.990000
117,0.437607
118,0.716415
119,0.990000
120,0.990000
121,0.990000
122,0.990000
123,0.990000
124,0.990000
125,0.768124
126,0.967529
127,0.990000
128,0.950696
129,0.990000
130,0.213797
131,0.990000
132,0.990000
133,0.990000
134,0.990000
135,0.844767
136,0.990000
137,0.602260
138,0.395480
